transaction_id,user_id,receiver_id,receiver_type,amount,timestamp,date,hour_of_day,day_of_week,is_weekend,is_night_transaction,time_since_last_txn_min,transaction_type,payment_app,device_type,status,user_city_tier,user_kyc_status,user_avg_monthly_txn,user_avg_txn_value,user_loyalty_score,new_device_flag,ip_location_mismatch,failed_attempts_last_24h,transaction_velocity,amount_deviation_score,is_fraud,recurring_payment_flag,balance_after_transaction,transaction_frequency_score
TXN0004748,USR01598,MRC0329,Merchant,158.8,2024-01-01 19:17:33,2024-01-01,19,Monday,0,0,-197659.0,EMI,Paytm,Android,Success,Tier 3,Verified,16,243.17,0.259,0,0,0,0.0,0.347,0,1,78569.83,0.32
TXN0000494,USR00312,MRC0027,Merchant,833.86,2024-01-01 19:27:16,2024-01-01,19,Monday,0,0,-330771.78,P2M,Paytm,Android,Success,Tier 1,Verified,29,907.21,0.101,0,1,0,1.0,0.0809,0,0,73487.64,0.58
TXN0009299,USR01384,USR00476,User,1916.2,2024-01-01 19:37:27,2024-01-01,19,Monday,0,0,-70921.83,P2P,PhonePe,Android,Success,Tier 1,Verified,57,637.4,0.39,0,0,0,2.0,2.0063,0,0,62533.53,1.0
TXN0014327,USR01952,MRC0208,Merchant,218.78,2024-01-01 19:53:03,2024-01-01,19,Monday,0,0,-465008.07,EMI,Paytm,Android,Success,Tier 2,Not Verified,10,343.72,0.502,0,0,0,1.0,0.3635,0,1,72832.36,0.2
TXN0004177,USR01739,MRC0017,Merchant,289.35,2024-01-01 19:59:25,2024-01-01,19,Monday,0,0,,P2M,GPay,iOS,Success,Tier 3,Verified,13,523.54,0.259,1,0,1,0.0,0.4473,0,0,28103.79,0.26
TXN0004702,USR01555,USR00955,User,120.63,2024-01-01 20:45:34,2024-01-01,20,Monday,0,0,-336628.58,P2P,Paytm,iOS,Success,Tier 2,Verified,6,238.63,0.361,0,0,1,0.0,0.4945,0,0,72264.22,0.12
TXN0014548,USR00275,MRC0082,Merchant,1317.65,2024-01-01 21:07:42,2024-01-01,21,Monday,0,0,-118846.63,P2M,Amazon Pay,Android,Success,Tier 1,Not Verified,44,546.6,0.379,0,0,0,2.0,1.4106,0,0,53272.51,0.88
TXN0019878,USR01144,MRC0266,Merchant,79.51,2024-01-01 21:09:23,2024-01-01,21,Monday,0,0,-208608.85,P2M,Amazon Pay,Android,Success,Tier 3,Verified,24,311.64,0.465,0,0,3,1.0,0.7449,0,0,32956.56,0.48
TXN0016891,USR01100,MRC0130,Merchant,2384.18,2024-01-01 21:55:08,2024-01-01,21,Monday,0,0,-388233.0,Subscription,PhonePe,Android,Success,Tier 1,Not Verified,40,1379.48,0.644,0,0,0,0.0,0.7283,0,1,30103.61,0.8
TXN0010152,USR01612,MRC0245,Merchant,500.53,2024-01-01 22:07:04,2024-01-01,22,Monday,0,1,-390238.25,Recharge,GPay,Android,Success,Tier 2,Verified,4,674.78,0.927,0,0,1,1.0,0.2582,0,0,39281.49,0.08
TXN0004946,USR00898,USR00878,User,798.75,2024-01-01 22:45:03,2024-01-01,22,Monday,0,1,-181977.53,P2P,Amazon Pay,Web,Success,Tier 1,Not Verified,40,1349.81,0.648,0,0,1,3.0,0.4083,1,0,76962.99,0.8
TXN0015384,USR01646,MRC0384,Merchant,1787.73,2024-01-01 23:02:14,2024-01-01,23,Monday,0,1,-430518.95,P2M,GPay,iOS,Success,Tier 1,Verified,50,1665.11,0.859,1,0,0,1.0,0.0736,0,0,64117.27,1.0
TXN0003244,USR01289,MRC0357,Merchant,669.83,2024-01-01 23:23:53,2024-01-01,23,Monday,0,1,-60406.23,P2M,Amazon Pay,Android,Success,Tier 2,Verified,31,1418.01,0.219,0,0,0,,0.5276,0,0,67797.83,0.62
TXN0007197,USR01414,MRC0396,Merchant,527.49,2024-01-02 00:33:17,2024-01-02,0,Tuesday,0,1,-256802.02,Recharge,Paytm,Android,Failed,Tier 3,Verified,19,623.64,0.954,0,0,0,0.0,0.1542,0,0,19178.13,0.38
TXN0000725,USR01193,USR00899,User,5638.7,2024-01-02 01:03:17,2024-01-02,1,Tuesday,0,1,,P2P,PhonePe,Android,Success,Tier 2,Verified,41,1201.87,0.674,0,0,0,0.0,3.6916,0,0,72135.27,0.82
TXN0006217,USR01883,MRC0250,Merchant,149.5,2024-01-02 01:12:38,2024-01-02,1,Tuesday,0,1,,EMI,PhonePe,Android,Success,Tier 2,Not Verified,30,162.58,0.788,0,0,0,0.0,0.0805,0,1,53571.26,0.6
TXN0007475,USR01503,MRC0349,Merchant,466.56,2024-01-02 01:12:52,2024-01-02,1,Tuesday,0,1,-248254.88,P2M,Amazon Pay,Android,Success,Tier 1,Verified,22,334.38,0.904,0,0,0,0.0,0.3953,0,0,12971.8,0.44
TXN0012958,USR00069,MRC0078,Merchant,189.44,2024-01-02 02:23:26,2024-01-02,2,Tuesday,0,1,-469658.85,Bill Payment,PhonePe,Android,Success,Tier 3,Not Verified,26,373.92,0.896,0,0,0,2.0,0.4934,0,1,17847.41,0.52
TXN0019695,USR01122,MRC0099,Merchant,398.05,2024-01-02 02:42:08,2024-01-02,2,Tuesday,0,1,-192188.43,Bill Payment,GPay,Android,Success,Tier 3,Verified,13,379.64,0.535,0,0,1,0.0,0.0485,0,1,13639.03,0.26
TXN0001569,USR00131,MRC0227,Merchant,474.94,2024-01-02 03:22:42,2024-01-02,3,Tuesday,0,1,-229721.5,Subscription,Amazon Pay,Web,Success,Tier 2,Not Verified,18,453.99,0.565,0,0,2,0.0,0.0461,0,1,32656.91,0.36
TXN0018905,USR00826,MRC0245,Merchant,925.65,2024-01-02 03:44:02,2024-01-02,3,Tuesday,0,1,-328943.8,Recharge,PhonePe,Android,Success,Tier 1,Verified,38,425.45,0.285,0,0,2,3.0,1.1757,0,0,45873.16,0.76
TXN0017969,USR01351,MRC0076,Merchant,228.39,2024-01-02 03:53:42,2024-01-02,3,Tuesday,0,1,-251723.95,P2M,PhonePe,Android,Success,Tier 2,Verified,47,268.24,0.786,0,0,0,1.0,0.1486,0,0,78298.83,0.94
TXN0011474,USR00593,USR00695,User,92.4,2024-01-02 03:57:10,2024-01-02,3,Tuesday,0,1,-138215.75,P2P,GPay,Android,Success,Tier 3,Verified,16,163.14,0.84,0,0,0,,0.4336,0,0,45017.74,0.32
TXN0004944,USR01497,USR01558,User,160.89,2024-01-02 04:10:48,2024-01-02,4,Tuesday,0,1,-127555.8,P2P,Paytm,Android,Success,Tier 2,Verified,35,167.57,0.524,0,0,0,3.0,0.0399,0,0,35760.5,0.7
TXN0018047,USR01032,MRC0223,Merchant,743.69,2024-01-02 04:39:53,2024-01-02,4,Tuesday,0,1,-364358.18,P2M,Paytm,Web,Failed,Tier 1,Verified,65,532.92,0.456,0,0,1,1.0,0.3955,0,0,23558.24,1.0
TXN0011760,USR00305,MRC0017,Merchant,188.75,2024-01-02 05:18:57,2024-01-02,5,Tuesday,0,1,-367595.13,Bill Payment,GPay,Android,Success,Tier 2,Not Verified,22,462.77,0.685,1,0,1,0.0,0.5921,0,1,57003.81,0.44
TXN0005037,USR00514,MRC0175,Merchant,643.57,2024-01-02 05:53:11,2024-01-02,5,Tuesday,0,1,-180442.75,Bill Payment,BHIM,iOS,Failed,Tier 3,Verified,9,375.98,0.398,0,0,0,0.0,0.7117,0,1,58036.05,0.18
TXN0007241,USR00622,MRC0005,Merchant,503.25,2024-01-02 05:54:36,2024-01-02,5,Tuesday,0,1,-439236.97,P2M,Paytm,iOS,Success,Tier 2,Not Verified,24,634.85,0.727,0,0,0,1.0,0.2073,1,0,21529.55,0.48
TXN0014084,USR00237,USR00627,User,1099.83,2024-01-02 06:42:40,2024-01-02,6,Tuesday,0,0,-122837.75,P2P,PhonePe,Android,Success,Tier 2,Verified,22,1133.56,0.686,0,0,2,2.0,0.0298,0,0,17469.9,0.44
TXN0002866,USR01751,MRC0336,Merchant,1442.02,2024-01-02 06:43:32,2024-01-02,6,Tuesday,0,0,,Bill Payment,BHIM,iOS,Success,Tier 2,Verified,39,916.22,0.787,0,0,1,0.0,0.5739,0,1,24153.87,0.78
TXN0004294,USR01859,MRC0269,Merchant,325.82,2024-01-02 06:44:19,2024-01-02,6,Tuesday,0,0,-70212.5,P2M,Amazon Pay,Web,Failed,Tier 1,Verified,36,611.56,0.178,0,0,3,0.0,0.4672,0,0,46451.4,0.72
TXN0017469,USR01574,MRC0045,Merchant,124.6,2024-01-02 08:43:25,2024-01-02,8,Tuesday,0,0,-385608.7,Bill Payment,BHIM,Android,Success,Tier 2,Verified,29,274.07,0.181,0,0,0,0.0,0.5454,0,1,27537.66,0.58
TXN0004544,USR00564,MRC0038,Merchant,273.56,2024-01-02 08:53:05,2024-01-02,8,Tuesday,0,0,-45917.45,P2M,PhonePe,Android,Success,Tier 2,Not Verified,25,423.81,0.889,0,0,0,0.0,0.3545,0,0,12932.58,0.5
TXN0001773,USR00234,MRC0373,Merchant,634.72,2024-01-02 09:06:08,2024-01-02,9,Tuesday,0,0,,Bill Payment,GPay,Android,Success,Tier 1,Verified,54,634.28,0.39,0,0,1,3.0,0.0007,0,1,51673.93,1.0
TXN0012890,USR01562,MRC0157,Merchant,1459.52,2024-01-02 09:30:59,2024-01-02,9,Tuesday,0,0,-196405.53,Bill Payment,PhonePe,iOS,Success,Tier 2,Not Verified,31,966.1,0.393,0,0,0,1.0,0.5107,0,1,40615.97,0.62
TXN0013695,USR00966,USR01119,User,246.66,2024-01-02 09:35:34,2024-01-02,9,Tuesday,0,0,-194978.6,P2P,PhonePe,Android,Success,Tier 3,Verified,23,276.53,0.769,0,0,0,1.0,0.108,0,0,38828.34,0.46
TXN0019783,USR01984,USR01610,User,221.77,2024-01-02 09:42:57,2024-01-02,9,Tuesday,0,0,-371184.62,P2P,PhonePe,Android,Success,Tier 3,Not Verified,23,141.26,0.421,0,0,0,0.0,0.5699,0,0,30100.02,0.46
TXN0007981,USR01966,USR00563,User,240.19,2024-01-02 09:58:20,2024-01-02,9,Tuesday,0,0,-480076.8,P2P,PhonePe,Android,Success,Tier 3,Verified,11,336.11,0.883,0,1,0,0.0,0.2854,0,0,52538.71,0.22
TXN0007447,USR01834,MRC0036,Merchant,269.35,2024-01-02 10:22:57,2024-01-02,10,Tuesday,0,0,,EMI,PhonePe,Android,Success,Tier 1,Not Verified,53,459.2,0.427,0,0,0,1.0,0.4134,0,1,1398.1,1.0
TXN0010768,USR01654,USR00395,User,1242.78,2024-01-02 11:08:44,2024-01-02,11,Tuesday,0,0,-168123.85,P2P,GPay,Android,Success,Tier 3,Verified,21,411.64,0.972,0,0,0,0.0,2.0191,0,0,42931.18,0.42
TXN0001079,USR01788,MRC0050,Merchant,279.01,2024-01-02 11:52:25,2024-01-02,11,Tuesday,0,0,,EMI,BHIM,iOS,Failed,Tier 3,Verified,13,328.25,0.744,0,0,1,0.0,0.15,0,1,71981.98,0.26
TXN0003032,USR00543,MRC0139,Merchant,545.39,2024-01-02 12:26:20,2024-01-02,12,Tuesday,0,0,-414213.85,P2M,GPay,Android,Success,Tier 1,Verified,42,700.79,0.991,0,0,0,2.0,0.2217,1,0,38995.21,0.84
TXN0018938,USR01787,USR01506,User,414.56,2024-01-02 13:14:33,2024-01-02,13,Tuesday,0,0,-12709.28,P2P,PhonePe,Android,Success,Tier 1,Verified,37,682.54,0.778,0,0,2,2.0,0.3926,0,0,76864.52,0.74
TXN0015445,USR01515,USR01898,User,1144.55,2024-01-02 13:28:45,2024-01-02,13,Tuesday,0,0,-114699.15,P2P,WhatsApp Pay,iOS,Success,Tier 3,Verified,10,289.93,0.601,0,0,0,0.0,2.9477,0,0,3322.52,0.2
TXN0014004,USR01715,MRC0145,Merchant,890.24,2024-01-02 13:47:48,2024-01-02,13,Tuesday,0,0,-55659.65,P2M,GPay,Android,Success,Tier 3,Verified,19,582.22,0.14,0,0,0,0.0,0.529,0,0,18685.79,0.38
TXN0011589,USR00577,MRC0190,Merchant,405.69,2024-01-02 13:58:48,2024-01-02,13,Tuesday,0,0,-130878.85,P2M,GPay,iOS,Success,Tier 2,Verified,32,1073.67,0.749,0,0,1,0.0,0.6221,0,0,76244.93,0.64
TXN0010642,USR00132,MRC0375,Merchant,345.72,2024-01-02 14:22:07,2024-01-02,14,Tuesday,0,0,-74761.37,EMI,GPay,Web,Success,Tier 2,Verified,37,684.94,0.782,0,0,0,2.0,0.4953,0,1,33525.64,0.74
TXN0014838,USR00259,MRC0264,Merchant,263.26,2024-01-02 14:43:29,2024-01-02,14,Tuesday,0,0,-441947.2,Bill Payment,GPay,iOS,Success,Tier 3,Verified,11,382.13,0.791,0,0,0,0.0,0.3111,0,1,70109.19,0.22
TXN0011254,USR01449,MRC0258,Merchant,586.43,2024-01-02 15:31:33,2024-01-02,15,Tuesday,0,0,-278825.95,P2M,PhonePe,Android,Success,Tier 2,Verified,34,393.23,0.261,0,0,0,2.0,0.4913,0,0,30766.43,0.68
TXN0012525,USR00329,USR01703,User,785.25,2024-01-02 15:42:49,2024-01-02,15,Tuesday,0,0,-258710.15,P2P,Paytm,Android,Success,Tier 1,Not Verified,43,420.6,0.484,0,0,0,0.0,0.867,0,0,18490.95,0.86
TXN0016237,USR00795,MRC0282,Merchant,178.04,2024-01-02 16:45:21,2024-01-02,16,Tuesday,0,0,-154320.85,EMI,PhonePe,Android,Success,Tier 1,Verified,34,849.03,0.409,0,0,0,0.0,0.7903,0,1,56898.45,0.68
TXN0013520,USR01903,MRC0125,Merchant,331.11,2024-01-02 17:15:40,2024-01-02,17,Tuesday,0,0,-451805.63,Recharge,PhonePe,Android,Success,Tier 3,Not Verified,28,404.76,0.898,0,0,0,0.0,0.182,0,0,35949.88,0.56
TXN0005390,USR00101,MRC0283,Merchant,935.05,2024-01-02 17:23:16,2024-01-02,17,Tuesday,0,0,-164191.27,P2M,GPay,Android,Success,Tier 1,Verified,62,650.96,0.388,0,0,0,0.0,0.4364,0,0,42965.2,1.0
TXN0017704,USR00782,MRC0073,Merchant,4015.07,2024-01-02 17:34:21,2024-01-02,17,Tuesday,0,0,-366357.72,EMI,GPay,Android,Success,Tier 2,Not Verified,27,1196.6,0.658,0,0,0,0.0,2.3554,0,1,25992.37,0.54
